County,Latitude,Longitude,Inc_2013,Inc_2014,Inc_2015,Inc_2016,Inc_2017,Inc_2018,Inc_2019,Inc_2020,Inc_2021,Inc_2022
Manassas city,38.7465308,-77.47465579,71036,71215,72890,74371,77551,78462,81493,86227,101934,110559
Manassas Park city,38.7663953,-77.4420197,71227,73460,73528,75027,79131,80667,88046,81639,90544,91673
Martinsville city,36.6909706,-79.8750387,28116,27746,29587,31719,33545,33224,34371,36166,36832,39127
Mathews County,37.4481394,-76.331696,55192,63157,63845,64049,63622,67009,64237,74489,73229,79054
Mecklenburg County,36.6798483,-78.314746,36261,37756,37356,40040,41126,42025,43207,50224,46378,51265
Middlesex County,37.6221412,-76.5904374,53309,54452,54654,53093,50483,51917,57438,57060,63782,69389
Montgomery County,37.17500015,-80.37429789,45543,44810,46663,49712,53424,54641,57977,59126,60666,65270
Nelson County,37.7755351,-78.8973622,48789,50131,47118,50994,53834,62446,64313,62203,67707,64028
New Kent County,37.4974701,-76.9990453,70618,73030,73041,75303,78429,79698,87904,97688,101628,113120
Newport News city,36.9775016,-76.42977,51027,51000,50077,50089,51082,51884,53215,54511,57463,63355
Norfolk city,36.85855115,-76.30473937,44747,44150,44480,45268,47137,49146,51590,53026,56244,60998
Northampton County,37.3688433,-75.9265679,33635,34656,35055,37011,41468,43553,47227,50819,50347,54693
Northumberland County,37.9314992,-76.4836686,51342,50774,51885,54440,56677,58677,62632,59437,61291,64655
Norton city,36.93325905,-82.63522372,39416,36148,27731,26000,26971,28071,29000,30518,35592,36974
Nottoway County,37.1489448,-78.0583926,36607,35911,36284,36849,38410,42869,45535,49983,54614,62366
Orange County,38.2490349,-78.013983,60287,63538,65166,66990,67196,68481,71548,74446,79211,87309
Page County,38.6002354,-78.5016516,42906,43063,43895,45030,46140,47951,51792,51878,53168,56760
Patrick County,36.6818706,-80.284636,34864,34753,33982,35999,37757,40486,43073,46941,47215,49180
Petersburg city,37.1924594,-77.3677408,34424,33927,31798,32169,33939,36135,38679,43029,44890,46930
Pittsylvania County,36.8121678,-79.4364106,42143,42311,41824,43087,44356,45382,47690,49520,49486,52619
Poquoson city,37.1280333,-76.3608999,81892,83460,83735,84643,88328,96831,97118,100696,112026,114503
Portsmouth city,36.8313802,-76.37006109,46166,46239,45676,47050,48727,50224,52175,53213,54020,57154
Powhatan County,37.5531622,-77.9112655,76548,75447,77896,77684,80441,83914,89090,93833,101395,108089
Prince Edward County,37.2293293,-78.4628573,37436,37238,41697,42283,44147,46189,47202,44253,49019,57304
Prince George County,37.1815024,-77.2153144,63074,61071,61857,64805,68461,67001,71912,75123,78895,80318
Prince William County,38.7389846,-77.5536743,98071,98514,98657,98546,101059,103445,107132,107707,113831,123193
Pulaski County,37.0580572,-80.7297289,44312,45635,47495,49469,49691,52638,53866,53689,55446,59740
Radford city,37.1343148,-80.5749169,30714,30284,29912,31457,36082,36743,36297,34576,44360,51039
Rappahannock County,38.6926326,-78.1495818,56438,59753,57210,58026,62541,68438,74284,82077,90307,98663
Richmond city,37.5433591,-77.43531346,40496,41331,40758,41187,42356,45117,47250,51421,54795,59606
Richmond County,37.9476108,-76.7161921,47083,47199,47288,44919,47341,49831,49517,53298,57697,62708
Roanoke city,37.2773592,-79.941149,38145,39530,39930,39201,41483,43028,44230,45664,48476,51523
Roanoke County,37.2377673,-80.0759642,60795,60950,60519,60380,62134,65467,68948,70076,74622,80872
Rockbridge County,37.8331804,-79.4622597,48313,48550,48901,52478,53918,54805,54600,54133,57828,61903
Rockingham County,38.5080288,-78.8949442,52195,53728,53744,55029,57651,59817,61864,64496,67484,73232
Russell County,36.9251814,-82.1147841,33872,34768,35045,38370,40083,39482,39758,38564,41100,44088
Salem city,37.2919366,-80.0570773,48733,50590,50068,52351,53990,57185,57165,63411,66472,68402
Scott County,36.7117473,-82.5893052,38355,36579,37240,38017,38725,39144,39820,41540,42561,44535
Shenandoah County,38.856559,-78.5890893,49625,47936,49406,50450,53934,54921,57252,56114,58609,62149
Smyth County,36.8440149,-81.5418453,37239,37880,37983,38906,40544,40425,40932,41088,42588,45061
Southampton County,36.6959378,-77.1586002,46150,49690,48962,51032,53681,54611,61348,63034,65079,67813
Spotsylvania County,38.1880936,-77.6741751,78345,78505,78125,79742,81434,85330,88628,90913,98973,105068
Stafford County,38.4167265,-77.4579783,97110,98721,97144,97528,103005,106773,111108,112247,119818,128036
Staunton city,38.1608626,-79.0384661,38501,39982,40842,42948,46435,48049,52611,52292,53041,59731
Suffolk city,36.7427673,-76.6241825,66085,66822,65499,65435,68089,70664,74884,79899,81883,87758
Surry County,37.1118778,-76.895924,47292,51527,53673,56632,54656,54844,57962,56525,61105,68655
Sussex County,36.9096897,-77.2741121,39635,36972,39194,37917,44608,45801,49487,51701,56968,59195
Tazewell County,37.1236041,-81.5684129,35693,36248,37664,38238,40309,40978,42099,42207,42937,46508
Virginia Beach city,36.5943204,-75.8876014,65219,67001,66634,67719,70500,74186,76610,78136,81810,87544
Warren County,38.9131907,-78.2096656,61610,60560,61454,63734,65353,68189,69116,70109,72840,79313
Washington County,36.740236,-81.9421666,41897,42458,43310,43835,44844,46262,48495,50928,54737,59116
Waynesboro city,38.661235,-77.330562,44847,45499,45643,45097,42112,45738,45011,43480,47238,52519
Westmoreland County,38.1153203,-76.7567355,49157,48750,47911,51566,55688,54268,53853,53790,53113,56647
Williamsburg city,37.2815351,-76.6884676,48616,48057,48639,50091,54606,56163,57463,59288,65297,66815
Winchester city,39.1852184,-78.1652404,44200,44731,45363,46466,49330,53797,58818,61102,61321,62495
Wise County,37.0170633,-82.6103804,36218,37357,37407,36352,38255,38345,38888,41285,44884,47541
Wythe County,36.9118401,-81.0639347,41275,40185,41360,42888,46119,48043,49364,51639,52726,53921
York County,37.2230374,-76.5156945,82073,80900,81749,83410,86781,90367,92069,93356,96144,105154
